
=== BACKTEST RESULTS ===
Period:          2025-02-09 to 2026-02-07 (362 days)
Initial Equity:  $10000.00
Final Equity:    $2128988.11
Net PnL:         $2118988.11 (21189.88%)
Gross PnL:       $3583738.79

Total Trades:    3864
Winning Trades:  1820
Losing Trades:   2044
Win Rate:        47.10%
Profit Factor:   1.23
Avg PnL/Trade:   $548.39

Max Drawdown:    53.65%
Sharpe Ratio:    3.61
========================

=== SYMBOL STATISTICS ===
Symbol     Trades   Win Rate PnL        Avg PnL      Profit Factor
----------------------------------------------
BNB/USDT   981      45.7    % $195151.54   $198.93      1.24
BTC/USDT   451      47.2    % $32703.82    $72.51       1.28
ETH/USDT   1255     46.9    % $711112.07   $566.62      1.15
SOL/USDT   1177     48.4    % $1180020.68  $1002.57     1.32

=== MONTHLY RETURNS ===
Month        PnL          Trades    
ETH/USDT   LONG   2025-03-03   $2274.81   $2252.06     6.8138     $-170.38     stop_loss
ETH/USDT   LONG   2025-03-03   $2184.59   $2162.74     7.0242     $-168.68     stop_loss
ETH/USDT   LONG   2025-03-03   $2159.06   $2137.47     7.0362     $-166.99     stop_loss
ETH/USDT   LONG   2025-03-03   $2109.88   $2152.08     7.1282     $285.53      take_profit

ETH/USDT   LONG   2025-03-03   $2157.01   $2135.44     7.1119     $-168.63     stop_loss
ETH/USDT   LONG   2025-03-04   $2047.07   $2026.60     7.4189     $-166.94     stop_loss
ETH/USDT   LONG   2025-03-04   $2033.48   $2074.15     7.3938     $285.44      take_profit
ETH/USDT   LONG   2025-03-04   $2083.50   $2062.66     7.3606     $-168.58     stop_loss
ETH/USDT   LONG   2025-03-04   $2059.96   $2101.16     7.3703     $288.24      take_profit
ETH/USDT   LONG   2025-03-04   $2063.12   $2042.49     7.5062     $-170.23     stop_loss
ETH/USDT   LONG   2025-03-04   $2045.89   $2025.43     7.4937     $-168.53     stop_loss
ETH/USDT   LONG   2025-03-04   $2021.80   $2062.24     7.5072     $288.15      take_profit
ETH/USDT   LONG   2025-03-04   $2062.25   $2103.49     7.5071     $293.92      take_profit
ETH/USDT   LONG   2025-03-04   $2110.18   $2152.38     7.4833     $299.80      take_profit
ETH/USDT   LONG   2025-03-04   $2148.06   $2191.02     7.4984     $305.79      take_profit
ETH/USDT   LONG   2025-03-04   $2133.89   $2176.57     7.6992     $311.91      take_profit
ETH/USDT   LONG   2025-03-04   $2199.52   $2177.52     7.6188     $-184.21     stop_loss
ETH/USDT   LONG   2025-03-05   $2235.21   $2212.86     7.4222     $-182.37     stop_loss
ETH/USDT   LONG   2025-03-05   $2212.70   $2190.57     7.4227     $-180.54     stop_loss
ETH/USDT   LONG   2025-03-05   $2171.17   $2214.59     7.4891     $308.70      take_profit
ETH/USDT   LONG   2025-03-05   $2183.93   $2227.61     7.5942     $314.87      take_profit
ETH/USDT   LONG   2025-03-05   $2218.47   $2262.84     7.6255     $321.17      take_profit
ETH/USDT   LONG   2025-03-06   $2263.49   $2308.76     7.6233     $327.59      take_profit
ETH/USDT   LONG   2025-03-06   $2215.40   $2259.71     7.9446     $334.14      take_profit

ETH/USDT   LONG   2025-03-06   $2193.70   $2171.76     8.1836     $-197.34     stop_loss
ETH/USDT   LONG   2025-03-07   $2127.71   $2106.43     8.3530     $-195.37     stop_loss
ETH/USDT   LONG   2025-03-07   $2109.55   $2151.74     8.3407     $334.04      take_profit
ETH/USDT   LONG   2025-03-07   $2168.30   $2211.67     8.2770     $340.72      take_profit
ETH/USDT   LONG   2025-03-07   $2188.53   $2232.30     8.3645     $347.54      take_profit
ETH/USDT   LONG   2025-03-07   $2221.65   $2199.43     8.4046     $-205.25     stop_loss
ETH/USDT   LONG   2025-03-07   $2188.78   $2166.89     8.4455     $-203.20     stop_loss
ETH/USDT   LONG   2025-03-07   $2163.62   $2141.98     8.4583     $-201.17     stop_loss
ETH/USDT   LONG   2025-03-07   $2146.55   $2189.48     8.4403     $343.96      take_profit
ETH/USDT   LONG   2025-03-07   $2164.19   $2142.55     8.5389     $-203.14     stop_loss
ETH/USDT   LONG   2025-03-07   $2126.62   $2105.35     8.6029     $-201.11     stop_loss
ETH/USDT   LONG   2025-03-08   $2118.80   $2161.18     8.5483     $343.86      take_profit
ETH/USDT   LONG   2025-03-08   $2167.05   $2210.39     8.5251     $350.74      take_profit
ETH/USDT   LONG   2025-03-09   $2134.10   $2112.76     8.8299     $-207.14     stop_loss
ETH/USDT   LONG   2025-03-09   $2104.48   $2083.44     8.8646     $-205.07     stop_loss
ETH/USDT   LONG   2025-03-09   $2039.98   $2019.58     9.0534     $-203.02     stop_loss
ETH/USDT   LONG   2025-03-09   $2017.30   $1997.13     9.0637     $-200.99     stop_loss
ETH/USDT   LONG   2025-03-09   $2006.81   $2046.95     9.0199     $343.65      take_profit
ETH/USDT   LONG   2025-03-10   $2033.77   $2074.45     9.0784     $350.53      take_profit
ETH/USDT   LONG   2025-03-10   $2107.21   $2086.14     8.9372     $-207.02     stop_loss

ETH/USDT   LONG   2025-03-10   $2116.52   $2095.35     8.8089     $-204.95     stop_loss
ETH/USDT   LONG   2025-03-10   $2096.38   $2075.42     8.8046     $-202.90     stop_loss
ETH/USDT   LONG   2025-03-10   $2016.48   $1996.32     9.0620     $-200.87     stop_loss
ETH/USDT   LONG   2025-03-10   $1944.31   $1924.87     9.3043     $-198.86     stop_loss
ETH/USDT   LONG   2025-03-10   $1917.49   $1898.32     9.3401     $-196.87     stop_loss
ETH/USDT   LONG   2025-03-10   $1893.02   $1874.09     9.3663     $-194.90     stop_loss
ETH/USDT   LONG   2025-03-10   $1825.43   $1861.94     9.6159     $333.25      take_profit
ETH/USDT   LONG   2025-03-10   $1854.47   $1891.56     9.6547     $339.91      take_profit
ETH/USDT   LONG   2025-03-10   $1878.78   $1859.99     9.7203     $-200.75     stop_loss
ETH/USDT   LONG   2025-03-10   $1865.10   $1846.45     9.6937     $-198.74     stop_loss
ETH/USDT   LONG   2025-03-11   $1794.90   $1776.95     9.9721     $-196.75     stop_loss
ETH/USDT   LONG   2025-03-11   $1788.69   $1824.46     9.9067     $336.41      take_profit
ETH/USDT   LONG   2025-03-11   $1821.49   $1857.92     9.9228     $343.14      take_profit
ETH/USDT   LONG   2025-03-11   $1855.16   $1892.26     9.9376     $350.00      take_profit
ETH/USDT   LONG   2025-03-11   $1889.18   $1926.96     9.9538     $357.00      take_profit
ETH/USDT   LONG   2025-03-11   $1913.24   $1894.11     10.0252    $-210.84     stop_loss
ETH/USDT   LONG   2025-03-11   $1892.26   $1873.34     10.0350    $-208.73     stop_loss
ETH/USDT   LONG   2025-03-11   $1872.42   $1909.87     10.0399    $356.90      take_profit
ETH/USDT   LONG   2025-03-11   $1900.97   $1881.96     10.0869    $-210.78     stop_loss
ETH/USDT   LONG   2025-03-11   $1875.03   $1856.28     10.1242    $-208.67     stop_loss

ETH/USDT   LONG   2025-03-11   $1848.65   $1885.62     10.1660    $356.79      take_profit
ETH/USDT   LONG   2025-03-11   $1875.08   $1912.58     10.2232    $363.93      take_profit
ETH/USDT   LONG   2025-03-11   $1900.87   $1938.89     10.2861    $371.21      take_profit
ETH/USDT   LONG   2025-03-11   $1935.88   $1916.52     10.3021    $-219.23     stop_loss
ETH/USDT   LONG   2025-03-12   $1860.62   $1897.83     10.6116    $374.84      take_profit
ETH/USDT   LONG   2025-03-12   $1900.56   $1881.55     10.5964    $-221.38     stop_loss
ETH/USDT   LONG   2025-03-12   $1893.70   $1931.57     10.5284    $378.52      take_profit
ETH/USDT   LONG   2025-03-12   $1930.10   $1910.80     10.5365    $-223.55     stop_loss
ETH/USDT   LONG   2025-03-12   $1879.36   $1916.95     10.7127    $382.23      take_profit
ETH/USDT   LONG   2025-03-12   $1923.57   $1904.33     10.6759    $-225.74     stop_loss
ETH/USDT   LONG   2025-03-12   $1903.88   $1884.84     10.6784    $-223.48     stop_loss
ETH/USDT   LONG   2025-03-12   $1841.56   $1878.39     10.9294    $382.11      take_profit
ETH/USDT   LONG   2025-03-13   $1894.69   $1875.74     10.8354    $-225.67     stop_loss
ETH/USDT   LONG   2025-03-13   $1875.11   $1856.36     10.8390    $-223.42     stop_loss
ETH/USDT   LONG   2025-03-13   $1862.12   $1843.50     10.8055    $-221.18     stop_loss
ETH/USDT   LONG   2025-03-13   $1826.95   $1863.49     10.9034    $378.18      take_profit
ETH/USDT   LONG   2025-03-14   $1893.12   $1930.98     10.7327    $385.74      take_profit
ETH/USDT   LONG   2025-03-14   $1915.69   $1954.00     10.8184    $393.46      take_profit
ETH/USDT   LONG   2025-03-16   $1874.00   $1911.48     11.2802    $401.33      take_profit
ETH/USDT   LONG   2025-03-16   $1871.57   $1909.00     11.5208    $409.35      take_profit

ETH/USDT   LONG   2025-03-18   $1880.21   $1917.81     11.6972    $417.54      take_profit
ETH/USDT   LONG   2025-03-19   $1969.39   $2008.78     11.3909    $425.89      take_profit
ETH/USDT   LONG   2025-03-19   $2007.32   $2047.47     11.3991    $434.41      take_profit
ETH/USDT   LONG   2025-03-19   $2020.27   $2060.68     11.5526    $443.10      take_profit
ETH/USDT   LONG   2025-03-20   $1986.10   $1966.24     11.9864    $-261.69     stop_loss
ETH/USDT   LONG   2025-03-22   $1999.66   $1979.66     11.7860    $-259.07     stop_loss
ETH/USDT   LONG   2025-03-23   $2010.86   $1990.75     11.6032    $-256.48     stop_loss
ETH/USDT   LONG   2025-03-24   $2040.27   $2081.08     11.3216    $438.54      take_profit
ETH/USDT   LONG   2025-03-24   $2083.98   $2063.14     11.3058    $-258.99     stop_loss
ETH/USDT   LONG   2025-03-26   $2028.35   $2008.07     11.4997    $-256.40     stop_loss
ETH/USDT   LONG   2025-03-26   $2008.69   $1988.60     11.4961    $-253.84     stop_loss
ETH/USDT   LONG   2025-03-26   $1984.89   $2024.59     11.5176    $434.02      take_profit
ETH/USDT   LONG   2025-03-27   $1988.65   $1968.76     11.7258    $-256.33     stop_loss
ETH/USDT   LONG   2025-03-28   $1887.54   $1868.66     12.2304    $-253.77     stop_loss
ETH/USDT   LONG   2025-03-28   $1874.34   $1911.83     12.1933    $433.89      take_profit
ETH/USDT   LONG   2025-03-29   $1835.42   $1817.07     12.7009    $-256.25     stop_loss
ETH/USDT   LONG   2025-03-29   $1802.52   $1838.57     12.8034    $438.14      take_profit
ETH/USDT   LONG   2025-03-30   $1810.68   $1792.57     13.0006    $-258.76     stop_loss
ETH/USDT   LONG   2025-03-30   $1791.94   $1827.78     13.0052    $442.44      take_profit
ETH/USDT   LONG   2025-03-30   $1775.93   $1811.45     13.3849    $451.29      take_profit

ETH/USDT   LONG   2025-03-31   $1786.42   $1822.15     13.5724    $460.31      take_profit
ETH/USDT   LONG   2025-03-31   $1798.92   $1780.93     13.7477    $-271.86     stop_loss
ETH/USDT   LONG   2025-03-31   $1811.01   $1847.23     13.5194    $464.82      take_profit
ETH/USDT   LONG   2025-03-31   $1841.45   $1823.04     13.5618    $-274.52     stop_loss
ETH/USDT   LONG   2025-03-31   $1823.12   $1859.58     13.5612    $469.38      take_profit
ETH/USDT   LONG   2025-04-01   $1873.53   $1854.79     13.4602    $-277.21     stop_loss
ETH/USDT   LONG   2025-04-01   $1848.17   $1885.13     13.5085    $473.98      take_profit
